,sample_id,split,gender,discipline,clinical_experience,country,question_type,prompt,question,question_clean,answer_options,correct_answer,answer_rationale,specialty,region_specific,mentions_Africa,mentions_age,mentions_gender,tier,neg_percent,quality,rated_african,rated_correct,rated_omission,rated_hallucination,rated_reasonable,rated_harmful,rated_bias,version
5500,b682d57a13b1ad18379a7b4f781c900065b23a8a47e2c6edb0738df241f2f81d,train,Female,Nursing,Licensed Professional,KE,mcq,,"Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?","Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?","{""option1"": ""Hashimoto's thyroiditis"", ""option2"": ""Graves' disease"", ""option3"": ""Toxic multinodular goiter"", ""option4"": ""Simple (nontoxic) goiter"", ""option5"": ""Thyroid cancer""}",option4,"Simple (nontoxic) goiter is characterized by thyroid enlargement without associated thyroid dysfunction. It often results from iodine deficiency, particularly in regions where dietary iodine intake is inadequate. Endemic goiter is a public health concern in various parts of Africa, particularly in landlocked areas distant from marine sources of iodine. Hashimoto's thyroiditis and Graves' disease are autoimmune thyroid disorders. Toxic multinodular goiter is characterized by multiple hyperfunctioning thyroid nodules. Thyroid cancer may present with a palpable thyroid nodule but is less commonly associated with diffuse thyroid enlargement.",Endocrinology,,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
5501,67351c580446820415846e4246ba2f3464ed382c3f300453840993c4bf842d12,train,Female,Nursing,Licensed Professional,KE,mcq,,"Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?","Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?","{""option1"": ""Tuberculosis"", ""option2"": ""Leprosy"", ""option3"": ""Yaws"", ""option4"": ""Buruli ulcer disease"", ""option5"": ""Lymphatic filariasis""}",option2,"Leprosy, also known as Hansen's disease, is a chronic infectious disease caused by Mycobacterium leprae. It primarily affects the skin, peripheral nerves, mucous membranes of the upper respiratory tract, and eyes. Leprosy is endemic in several regions of Africa, Asia, and Latin America. Tuberculosis, caused by Mycobacterium tuberculosis, primarily affects the lungs but can involve other organs as well. Yaws is a tropical disease caused by the bacterium Treponema pallidum pertenue. Buruli ulcer disease is caused by Mycobacterium ulcerans and primarily affects the skin and subcutaneous tissue. Lymphatic filariasis is caused by filarial worms transmitted by mosquitoes and primarily affects the lymphatic system.",Dermatology,,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
5502,b0b91d118616037284a08889d727235b526dacb738d273673c6e8122558ef6fc,train,Female,Nursing,Licensed Professional,KE,mcq,,Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?,Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?,"{""option1"": ""Ebola virus disease"", ""option2"": ""Lassa fever"", ""option3"": ""Marburg virus disease"", ""option4"": ""Rift Valley fever"", ""option5"": ""Typhoid""}",option2,"Lassa fever is a viral hemorrhagic fever caused by the Lassa virus, which is primarily transmitted to humans through contact with urine or feces of infected Mastomys rodents. It is endemic to several West African countries and can lead to severe illness, including hemorrhagic fever and multi-organ failure. Ebola virus disease, Marburg virus disease, and Rift Valley fever are also viral hemorrhagic fevers found in Africa, but they are transmitted through different mechanisms and are associated with distinct viral pathogens.",Infectious_Disease,,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
5503,1972fbe11f6249de5461c7836698bd1d7d17a244eb7bdbd973b78c442f2348f6,train,Male,Medicine,Student,KE,mcq,,Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?,Ms XY is a primigravida who is 30 weeks pregnant. She presents to A  E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?,"{""option1"": ""V/Q Scan."", ""option2"": ""CXR."", ""option3"": ""D-Dimer.."", ""option4"": ""ECG."", ""option5"": ""CTPA.""}",option5,A CTPA exposes a pregnant woman to very high amounts of x-rays. This is teratogenic to the unborn fetus.,Obstetrics_and_Gynecology,No,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
5504,480181ec8fcb02bc808bc61fc3ab24c25bd846aaae1626a5368428033917f0f7,train,Male,Medicine,Student,TZ,mcq,,"A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?","A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mmHg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?","{""option1"": ""Microarray analysis"", ""option2"": ""Northern blot"", ""option3"": ""Reverse transcription-polymerase chain reaction test"", ""option4"": ""Southern blot"", ""option5"": ""Western blot""}",option3,"Given the patient's recent travel history to West Africa and the symptoms suggestive of viral hemorrhagic fever, such as fever, chills, headache, weakness, and thrombocytopenia, the most sensitive and specific test for detection of the suspected viral genome would be (C) Reverse transcription-polymerase chain reaction (RT-PCR) test.",Other,,1.0,1.0,1.0,crowdsourced,1.0,,0.0,,,,,,,v3
5505,9fbe4134a572e8e2c8fc66ec8b5d578b9a920de63143be9129729b462ae70a92,train,Female,Medicine,Student,KE,mcq,,The following diseases must be screened for in blood for transfusion in Kenya;,The following diseases must be screened for in blood for transfusion in Kenya;,"{""option1"": ""Hepatitis"", ""option2"": ""HIV"", ""option3"": ""Syphillis"", ""option4"": ""All of the above"", ""option5"": ""N/A""}",option4,"Hepatitis, Hiv and Syphillis screening are mandatory for blood transfusion in Kenya.",Hematology,Yes,1.0,0.0,0.0,crowdsourced,1.0,,0.0,,,,,,,v3
5506,5973b65cc72965bbd94cc61f141722c44a574fcbe80a0c0ff815cfd5bbaea136,train,Female,Medicine,Student,KE,mcq,,Acceptable blood donors in Kenya do not include:,Acceptable blood donors in Kenya do not include:,"{""option1"": ""Patient called donor"", ""option2"": ""Voluntary call responsive"", ""option3"": ""Commercial"", ""option4"": ""Autologous"", ""option5"": ""Voluntary walk in""}",option3,Commercial blood donors are not allowed in Kenya,Hematology,Yes,1.0,0.0,0.0,crowdsourced,1.0,,0.0,,,,,,,v3
5507,2311d9a9e7bb66677a3b560f2a88a7c528bf8fdb478087d9d81e722ee41f8388,train,Female,Nursing,Licensed Professional,KE,mcq,,"Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?","Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?","{""option1"": ""Prostatitis"", ""option2"": ""Prostate cancer"", ""option3"": ""Benign prostatic hyperplasia (BPH)"", ""option4"": ""Epididymitis"", ""option5"": ""Testicular cancer""}",option3,"Benign prostatic hyperplasia (BPH) is a common condition in aging men, characterized by the non-cancerous enlargement of the prostate gland. BPH can cause compression of the urethra, leading to urinary symptoms such as frequency, urgency, hesitancy, weak urinary stream, and nocturia. BPH is prevalent in Africa and can significantly affect quality of life if left untreated. Prostatitis is inflammation of the prostate gland and can present with similar urinary symptoms but is often associated with pain or discomfort in the pelvic area. Prostate cancer is a malignancy of the prostate gland and may also cause urinary symptoms, along with other systemic manifestations. Epididymitis is inflammation of the epididymis, often secondary to infection, and presents with scrotal pain and swelling. Testicular cancer is a malignancy of the testes and typically presents with a painless testicular mass.",Urology,,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
5508,2ea6139fdc9b2998470f3d7d8efa48e722a6dbde660bf25485f8e1f7bc9fbaa3,train,Female,Nursing,Licensed Professional,KE,mcq,,"Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?","Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?","{""option1"": ""Polycystic kidney disease"", ""option2"": ""Glomerulonephritis"", ""option3"": ""Nephrolithiasis"", ""option4"": ""Pyelonephritis"", ""option5"": ""Renal cell carcinoma""}",option1," Polycystic kidney disease (PKD) is a genetic disorder characterized by the formation of multiple fluid-filled cysts in the kidneys. These cysts can gradually enlarge, leading to compression of surrounding renal tissue and progressive renal dysfunction. PKD is prevalent in Africa and can ultimately result in kidney failure if left untreated. Glomerulonephritis is inflammation of the glomeruli, the filtering units of the kidneys, and can lead to kidney damage. Nephrolithiasis refers to the formation of kidney stones, which can cause obstruction and renal colic. Pyelonephritis is inflammation and infection of the kidney parenchyma, often secondary to ascending urinary tract infections. Renal cell carcinoma is a type of kidney cancer.",Nephrology,,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
5509,09cbeee45181ee6a8b98880fd5beb1e7e63bce5cdaad8bec3f56f3aef56ef024,train,Female,Nursing,Licensed Professional,KE,mcq,,"Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?","Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?","{""option1"": ""Eczema"", ""option2"": ""Psoriasis"", ""option3"": ""Dermatophytosis"", ""option4"": ""Scabies"", ""option5"": ""Contact dermatitis""}",option2," Psoriasis is a chronic inflammatory skin disorder characterized by erythematous, scaly plaques, typically affecting extensor surfaces such as the elbows and knees, as well as the scalp. It can present with itching, pain, and discomfort. Psoriasis is prevalent in Africa and can significantly impact the quality of life of affected individuals. Eczema, also known as atopic dermatitis, is another inflammatory skin condition characterized by pruritic, erythematous patches, often with oozing and crusting. Dermatophytosis, or ringworm, is a fungal infection of the skin, hair, or nails. Scabies is caused by the Sarcoptes scabiei mite and presents with intense itching and a characteristic rash. Contact dermatitis is inflammation of the skin triggered by contact with irritants or allergens.",Dermatology,,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
